state,name,lon,lat,region,ID,cluster
NY,Maple Ridge (Lowville),-75.679199,43.811691,NE,33037,4
MD,Fourmile Ridge,-79.00145699999999,39.643494,NE,18652,5
ME,"Kibby Mountain, phase I",-70.5438,45.400692,NE,27805,2
NY,Howard,-77.5215,42.316692,NE,25575,1
NY,Noble Altona,-73.6455,44.809391,NE,37631,8
NH,Granite Reliable Power,-71.31289699999998,44.776192,NE,21453,3
NY,Hardscrabble,-74.900497,43.162891,NE,22889,6
NY,Noble Bliss,-78.235199,42.564991,NE,37667,1
NY,Noble Bliss,-78.278999,42.552692,NE,37648,1
NY,Noble Clinton,-74.007797,44.923492,NE,37806,8
NY,Noble Bliss,-78.2397,42.560093,NE,37649,1
NH,Lempster,-72.139496,43.241989,NE,30090,0
NY,Maple Ridge (Lowville),-75.61529499999997,43.77779,NE,33059,4
ME,unknown Hancock County,-68.21260799999999,44.827339,NE,63743,3
ME,"Kibby Mountain, phase I",-70.53679699999998,45.40799000000001,NE,27806,2
NY,Howard,-77.511299,42.323994,NE,25563,1
NY,Noble Wethersfield,-78.265198,42.601391,NE,38046,1
NY,Maple Ridge,-75.573097,43.73679,NE,32891,4
NY,Noble Clinton,-73.992798,44.902592,NE,37778,8
NY,Noble Clinton,-73.999199,44.894192,NE,37839,8
ME,Stetson,-67.987801,45.49239,NE,54193,3
NY,Noble Altona,-73.648399,44.830391,NE,37577,8
NY,Noble Chateaugay,-74.023201,44.901093,NE,37731,8
NY,Dutch Hill/Cohocton,-77.527794,42.44099,NE,15720,1
NY,Noble Ellenburg,-73.969101,44.879292,NE,37856,8
ME,Rollins,-68.36150400000001,45.397591,NE,47634,3
NY,Howard,-77.550026,42.328388,NE,25560,1
NY,Jericho Rise,-74.10194399999997,44.911491,NE,26740,8
MA,Holy Name Catholic High School,-71.783897,42.240891,NE,24655,0
NY,Maple Ridge,-75.549194,43.76659,NE,32903,4
MA,Holiday Hill Community Wind,-72.870468,42.215057,NE,24654,0
MA,Hull Wind Phase II,-70.85659799999998,42.261192,NE,25586,0
MD,Criterion,-79.27268199999997,39.421104,NE,13659,5
NY,High Sheldon,-78.424797,42.758991,NE,23916,1
NY,Noble Altona,-73.637199,44.82078900000001,NE,37614,8
ME,Oakfield Wind,-68.136963,46.075249,NE,39139,3
NY,High Sheldon,-78.40909599999998,42.776093,NE,23917,1
